,season,episode,title,url
0,1,3,Squeeze,https://x-files.fandom.com/wiki/Squeeze
1,1,5,The Jersey Devil,https://x-files.fandom.com/wiki/The_Jersey_Devil
2,1,6,Shadows,https://x-files.fandom.com/wiki/Shadows
3,1,7,Ghost in the Machine,https://x-files.fandom.com/wiki/Ghost_in_the_Machine
4,1,8,Ice,https://x-files.fandom.com/wiki/Ice
5,1,9,Space,https://x-files.fandom.com/wiki/Space
6,1,11,Eve,https://x-files.fandom.com/wiki/Eve
7,1,12,Fire,https://x-files.fandom.com/wiki/Fire
8,1,13,Beyond the Sea,https://x-files.fandom.com/wiki/Beyond_the_Sea
9,1,14,Gender Bender,https://x-files.fandom.com/wiki/Gender_Bender
10,1,15,Lazarus,https://x-files.fandom.com/wiki/Lazarus
11,1,16,Young at Heart,https://x-files.fandom.com/wiki/Young_at_Heart
12,1,18,Miracle Man,https://x-files.fandom.com/wiki/Miracle_Man
13,1,19,Shapes,https://x-files.fandom.com/wiki/Shapes
14,1,20,Darkness Falls,https://x-files.fandom.com/wiki/Darkness_Falls
15,1,21,Tooms,https://x-files.fandom.com/wiki/Tooms
16,1,22,Born Again,https://x-files.fandom.com/wiki/Born_Again
17,1,23,Roland,https://x-files.fandom.com/wiki/Roland
18,2,2,The Host,https://x-files.fandom.com/wiki/The_Host
19,2,3,Blood,https://x-files.fandom.com/wiki/Blood
20,2,4,Sleepless,https://x-files.fandom.com/wiki/Sleepless
21,2,7,3,https://x-files.fandom.com/wiki/3
22,2,9,Firewalker,https://x-files.fandom.com/wiki/Firewalker
23,2,11,Excelsis Dei,https://x-files.fandom.com/wiki/Excelsis_Dei
24,2,12,Aubrey,https://x-files.fandom.com/wiki/Aubrey
25,2,13,Irresistible,https://x-files.fandom.com/wiki/Irresistible
26,2,14,Die Hand Die Verletzt,https://x-files.fandom.com/wiki/Die_Hand_Die_Verletzt
27,2,15,Fresh Bones,https://x-files.fandom.com/wiki/Fresh_Bones
28,2,18,Fearful Symmetry,https://x-files.fandom.com/wiki/Fearful_Symmetry
29,2,19,Død Kalm,https://x-files.fandom.com/wiki/D%C3%B8d_Kalm
30,2,20,Humbug,https://x-files.fandom.com/wiki/Humbug
